patient,series,view,dice_dense,dice_ensemble
DBT-P00681,21817_45,MLO,0.3808186850567187,0.7265952694814569
DBT-P00710,9441_47,CC,0.5801690228360912,0.5803329272456712
DBT-P00722,18880_33,CC,0.8842671268023938,0.88426929010458
DBT-P00733,21135_39,CC,0.44121881633301185,0.4412189419427945
DBT-P00737,3464_43,CC,0.38480195967930075,0.3860027952836628
DBT-P00754,9341_39,MLO,0.6090694712574465,0.8480101433618743
DBT-P00775,13022_41,CC,0.6811896373338449,0.6812328373114757
DBT-P00785,9777_41,MLO,0.7184138329040941,0.8680314176830124
DBT-P00795,21802_37,MLO,0.7004290378147925,0.9268414007775138
DBT-P00822,1780_41,MLO,0.798002636245954,0.9324032735137074
DBT-P00833,14397_44,CC,0.9111499064323583,0.9111701407744223
DBT-P00851,9219_34,CC,0.8742417986581806,0.8742417986581806
DBT-P00853,20977_41,CC,0.894679377750598,0.8949164091875419
DBT-P00869,10629_41,CC,0.31741683725807834,0.3541346352043605
DBT-P00881,19092_38,MLO,0.12043325793811095,0.6630371484857013
DBT-P00889,810_40,MLO,0.660397949423206,0.8793694487223008
DBT-P00890,13336_39,MLO,0.7560745126787296,0.9193587417862624
DBT-P00897,8296_42,CC,0.856880643162379,0.8568818762228152
DBT-P00910,14695_4,MLO,0.26785850123390315,0.43907604888071705
DBT-P00933,9243_43,MLO,0.5947815932273123,0.945882224529287
DBT-P00942,16704_40,CC,0.7080545933673451,0.7183446075789031
DBT-P00946,11333_37,MLO,0.7986774348456263,0.8747829010939397
DBT-P00949,22010_43,MLO,0.17438304942614816,0.3325994228133802
DBT-P00964,12459_40,CC,0.7911614175771738,0.7915798978741637
DBT-P00986,17444_42,CC,0.46261893561014206,0.5198464670529608
DBT-P00992,16517_42,MLO,0.5426308799204834,0.7620776472738363
DBT-P01007,11232_4,CC,0.6638877197304748,0.6666019050014718
DBT-P01017,4999_39,CC,0.7473701688295058,0.7793457157480929
DBT-P01027,1273_46,MLO,0.533691773061985,0.5739092142035597
DBT-P01032,21462_4,MLO,0.6742678485226817,0.9138231513068822
DBT-P01042,2673_44,CC,0.863644953255127,0.8636449672269088
DBT-P00029,229_35,MLO,0.6767705997280299,0.9123154327026542
DBT-P00032,9672_35,CC,0.8944536286009697,0.8953154349802827
DBT-P00064,20256_40,CC,0.924932757181093,0.9249362930297588
DBT-P00076,2879_38,MLO,0.811846952634705,0.9431970216599828
DBT-P00113,21885_35,CC,0.9623108121240794,0.9623148147955581
DBT-P00116,5580_39,MLO,0.8210566216508943,0.9016246579036671
DBT-P00122,3938_40,MLO,0.5224323737946126,0.626425097733454
DBT-P00125,21993_39,MLO,0.799196574877439,0.8945553116344038
DBT-P00130,21222_45,CC,0.006607279042268401,0.006981179980457157
DBT-P00140,16207_39,MLO,0.7748414802256491,0.8657641145454344
DBT-P00143,5822_41,CC,0.6322999250096364,0.6323004409197638
DBT-P00152,8001_38,MLO,0.15625356619665384,0.6068733951481594
DBT-P00161,3914_45,CC,0.7631143211024204,0.7631145353565287
DBT-P00204,6109_38,MLO,0.618918036149575,0.8538826073770919
DBT-P00230,1529_39,CC,0.9174106479112313,0.9174106479112313
DBT-P00310,12298_40,CC,0.36439058344725356,0.34403649648825374
DBT-P00395,5407_40,MLO,0.8576368064903312,0.9217774395498666
DBT-P00411,5518_39,MLO,0.8792370613757575,0.8885750718625022
DBT-P00421,3191_39,MLO,0.5936926938745059,0.8414016444618339
DBT-P00429,4893_42,MLO,0.12105373415164222,0.26042324743152917
DBT-P00444,14880_42,CC,0.936096754566425,0.9361123692435255
DBT-P00488,1561_38,MLO,0.7159108288241335,0.8878065481969082
DBT-P00491,15052_44,MLO,0.6452963090836619,0.8561997786267869
DBT-P00502,15590_42,CC,0.8579904512092855,0.8579958855573521
DBT-P00510,15012_43,CC,0.4797307957882815,0.481461515533629
DBT-P00520,15490_43,MLO,0.8528049667976616,0.9246002894003932
DBT-P00523,14440_40,MLO,0.224749836234819,0.5331388933223906
DBT-P00538,14154_42,CC,0.9048467892978471,0.9048480007882286
DBT-P00552,8277_42,MLO,0.20190383900448322,0.4470423328317858
DBT-P00595,7815_45,CC,0.8091901660734192,0.8091903096052242
DBT-P00610,18139_38,MLO,0.7730861291862262,0.9314278725575961
DBT-P00624,13913_38,CC,0.8666386665136879,0.8666386665136879
DBT-P00632,6565_4,CC,0.8425310612111825,0.8425680662099392
DBT-P00644,13541_45,CC,0.8627734878108638,0.862773588034805
DBT-P00661,9136_43,CC,0.2525456321743621,0.2526538058039218
DBT-P00688,14530_42,CC,0.5417151435467273,0.5417182053300349
DBT-P00710,9442_40,MLO,0.20523015782343235,0.7023542750599597
DBT-P00732,4283_39,CC,0.2183324237343379,0.2183324237343379
DBT-P00733,21136_37,CC,0.29271959072941894,0.36760524944118134
DBT-P00751,5955_38,CC,0.7971796213015895,0.797183184676189
DBT-P00754,9342_38,CC,0.838545809410779,0.849268849038686
DBT-P00781,16478_4,CC,0.7944862961991564,0.7972080335545453
DBT-P00785,9778_41,MLO,0.6309136871883639,0.8373657545086257
DBT-P00806,18573_40,MLO,0.493315676732405,0.6300015073127143
DBT-P00822,1781_48,MLO,0.855766789549383,0.9264255310093132
DBT-P00845,2233_34,CC,0.7791326444123654,0.7791326796892701
DBT-P00851,9220_35,MLO,0.8641708056913014,0.8722245116807317
DBT-P00858,4663_43,CC,0.36167264157423124,0.3616738458725959
DBT-P00869,10630_43,CC,0.41732360830933596,0.44319291398071137
DBT-P00887,7141_38,CC,0.8944270771739026,0.8944271037841938
DBT-P00889,811_42,MLO,0.7802132228807488,0.9035118357984925
DBT-P00892,18697_40,MLO,0.5484462852817772,0.6942890015380142
DBT-P00897,8297_38,CC,0.9013180015917845,0.9017395014769538
DBT-P00930,14868_4,MLO,0.5473107692866848,0.8312104005393828
DBT-P00933,9244_34,MLO,0.6227329867300504,0.9431366624972869
DBT-P00943,11908_38,MLO,0.6213529534536333,0.917519254401689
DBT-P00946,11334_38,MLO,0.8412162968663165,0.9274805010844253
DBT-P00962,19497_43,CC,0.2681842422706839,0.2682246481370265
DBT-P00964,12460_36,MLO,0.6502107506747976,0.9218654722852717
DBT-P00988,11348_35,CC,0.950476837451494,0.9504770210925398
DBT-P00992,16518_41,CC,0.7998391474594965,0.7998391474594965
DBT-P01007,11233_4,MLO,0.3157365445115852,0.6942293219768169
DBT-P01017,5000_36,MLO,0.2073465984722876,0.7100241169059585
DBT-P01027,1274_44,CC,0.4271772648172297,0.4293361328783852
DBT-P01032,21463_41,MLO,0.7011985815033378,0.8981924157536876
DBT-P01042,2674_41,MLO,0.5128451544369947,0.7677664414394119
DBT-P00029,230_40,CC,0.918264312235806,0.9184587320136033
DBT-P00032,9673_39,CC,0.8595765116558174,0.859753156561477
DBT-P00064,20257_40,MLO,0.7933258259766153,0.8919733030446719
DBT-P00076,2880_36,CC,0.9614846936760387,0.9637762681777464
DBT-P00113,21886_35,MLO,0.6493434380501365,0.9481266490457316
DBT-P00116,5581_38,CC,0.9532879404128354,0.9532920644873374
DBT-P00122,3939_42,CC,0.37059709089696524,0.3753391841205052
DBT-P00125,21994_34,CC,0.8167135744972127,0.816715059503422
DBT-P00130,21223_49,CC,0.01185897495214424,0.011861705823327741
DBT-P00140,16208_40,CC,0.9441726183483048,0.9441726183483048
DBT-P00143,5823_40,MLO,0.4183401020472821,0.7475487584710463
DBT-P00152,8002_41,CC,0.5809083707088997,0.5809086508791015
DBT-P00161,3915_46,MLO,0.3405898140811716,0.6643962130989608
DBT-P00204,6110_39,CC,0.7636296801667537,0.7636296801667537
DBT-P00230,1530_47,MLO,0.7368541996065879,0.9098625777435597
DBT-P00310,12299_3,MLO,0.29541515981618477,0.4131834195545244
DBT-P00395,5408_36,CC,0.92335528683795,0.9220286010148551
DBT-P00411,5519_4,CC,0.7507285400828732,0.7507285400828732
DBT-P00421,3192_45,CC,0.9221731724379076,0.9221731880550913
DBT-P00429,4894_43,CC,0.2586980522624153,0.28103970355500146
DBT-P00444,14881_41,MLO,0.7008807988413392,0.865544718929449
DBT-P00488,1562_38,MLO,0.7702064994355955,0.9276155898089926
DBT-P00491,15053_46,MLO,0.6970363428291553,0.9234174770889242
DBT-P00502,15591_51,MLO,0.5807576956009369,0.8786081444511493
DBT-P00510,15013_47,MLO,0.3253691873710536,0.49537499593155326
DBT-P00520,15491_40,CC,0.9526172008494302,0.9528446580688019
DBT-P00523,14441_41,MLO,0.21851513030283432,0.5484236145667475
DBT-P00538,14155_40,MLO,0.7109638689697655,0.8453851204496544
DBT-P00552,8278_40,CC,0.5103519283379855,0.5279758014996052
DBT-P00595,7816_48,MLO,0.286973919364295,0.7954483730287901
DBT-P00610,18140_48,CC,0.8808707591029308,0.8808707591029308
DBT-P00624,13914_39,MLO,0.6557590618535551,0.777529536406146
DBT-P00632,6566_39,CC,0.8254688599410921,0.8254697243987199
DBT-P00644,13542_42,CC,0.9269028222169401,0.9269028222169401
DBT-P00661,9137_43,MLO,0.27912905697504636,0.4557936978744438
DBT-P00688,14531_46,MLO,0.4470342669125296,0.5586949567079146
DBT-P00710,9443_41,MLO,0.22814149697221864,0.7187524876019256
DBT-P00732,4284_38,MLO,0.5722305191844201,0.6003188484124959
DBT-P00733,21137_45,MLO,0.5960768311936571,0.7174182849038777
DBT-P00751,5956_37,CC,0.8669780191007374,0.8669780191007374
DBT-P00754,9343_39,MLO,0.49613951687895036,0.6684691056252503
DBT-P00781,16479_40,CC,0.9211181565628657,0.9211962602059495
DBT-P00785,9779_38,CC,0.8601924320757451,0.8602012645542675
DBT-P00806,18574_54,CC,0.56226458608242,0.56226458608242
DBT-P00822,1782_44,CC,0.8793435769987419,0.8793435769987419
DBT-P00845,2234_34,CC,0.8176212535682507,0.8176212535682507
DBT-P00851,9221_35,CC,0.903062607935728,0.903062607935728
DBT-P00858,4664_43,MLO,0.17640868971772194,0.32885646489715487
DBT-P00869,10631_42,MLO,0.05322136078654825,0.1871903880546619
DBT-P00887,7142_39,MLO,0.5959401168959808,0.8726714886242422
DBT-P00889,812_38,CC,0.8909476651378244,0.8911026043586943
DBT-P00892,18698_41,CC,0.5496264182566348,0.5515872986040955
DBT-P00897,8298_37,MLO,0.7658569374481731,0.9189852855059336
DBT-P00930,14869_37,CC,0.8839292945722503,0.8839292945722503
DBT-P00933,9245_46,CC,0.9442026534507983,0.9442026534507983
DBT-P00943,11909_39,CC,0.8367290074562206,0.849616656070831
DBT-P00946,11335_32,CC,0.889807860376695,0.8898079276261152
DBT-P00962,19498_52,MLO,0.49492253174798945,0.8725631876257881
DBT-P00964,12461_38,CC,0.9627133504466654,0.9631545814572475
DBT-P00988,11349_46,MLO,0.6406450157573826,0.9392860477192928
DBT-P00993,19457_39,CC,0.8800764915625869,0.880076508923973
DBT-P01007,11234_44,CC,0.4561029237965368,0.4566913094389462
DBT-P01021,19620_44,MLO,0.5417328421347758,0.8913455450056627
DBT-P01027,1275_44,CC,0.3408182030137084,0.34081939601357003
DBT-P01035,8560_42,MLO,0.6676745772843332,0.9071361217015141
DBT-P01042,2675_43,CC,0.7888783211191102,0.7888783516123589
DBT-P00315,13689_38,CC,0.835489669228863,0.835494942843988
DBT-P00398,15594_4,CC,0.9359687638308959,0.9361836004467173
DBT-P00988,11350_40,MLO,0.6603326342633785,0.8187108857979372
